content,translation
微 仲 、 王 子 比 干 、 箕 子 、,微 仲 、 王 子 比 干 、 箕 子 、
王 子 比 干 、,王 子 比 干 、
王 子 比 干 、 箕 子 、,王 子 比 干 、 箕 子 、
王 子 比 干 、 箕 子 、 相 与 辅 相 之 ，,王 子 比 干 、 箕 子 、 胶 鬲 等 一 批 贤 臣 共 同 辅 佐 ，
箕 子 、,箕 子 、
箕 子 、 相 与 辅 相 之 ，,箕 子 、 胶 鬲 等 一 批 贤 臣 共 同 辅 佐 ，
箕 子 、 相 与 辅 相 之 ， 故 久 而 后 失 之 也 。,箕 子 、 胶 鬲 等 一 批 贤 臣 共 同 辅 佐 ， 所 以 能 统 治 很 久 以 后 才 失 去 政 权 。
相 与 辅 相 之 ，,胶 鬲 等 一 批 贤 臣 共 同 辅 佐 ，
相 与 辅 相 之 ， 故 久 而 后 失 之 也 。,胶 鬲 等 一 批 贤 臣 共 同 辅 佐 ， 所 以 能 统 治 很 久 以 后 才 失 去 政 权 。
故 久 而 后 失 之 也 。,所 以 能 统 治 很 久 以 后 才 失 去 政 权 。
尺 地 莫 非 其 有 也 ，,当 时 没 有 一 尺 土 地 不 属 于 纣 王 所 有 ，
尺 地 莫 非 其 有 也 ， 一 民 莫 非 其 臣 也 ，,当 时 没 有 一 尺 土 地 不 属 于 纣 王 所 有 ， 没 有 一 个 百 姓 不 属 于 纣 王 统 治 ， 在 那 种 情 况 下 ，
尺 地 莫 非 其 有 也 ， 一 民 莫 非 其 臣 也 ， 然 而 文 王 犹 方 百 里 起 ，,当 时 没 有 一 尺 土 地 不 属 于 纣 王 所 有 ， 没 有 一 个 百 姓 不 属 于 纣 王 统 治 ， 在 那 种 情 况 下 ， 文 王 还 只 能 从 方 圆 百 里 的 小 地 方 兴 起 ，
一 民 莫 非 其 臣 也 ，,没 有 一 个 百 姓 不 属 于 纣 王 统 治 ， 在 那 种 情 况 下 ，
一 民 莫 非 其 臣 也 ， 然 而 文 王 犹 方 百 里 起 ，,没 有 一 个 百 姓 不 属 于 纣 王 统 治 ， 在 那 种 情 况 下 ， 文 王 还 只 能 从 方 圆 百 里 的 小 地 方 兴 起 ，
一 民 莫 非 其 臣 也 ， 然 而 文 王 犹 方 百 里 起 ， 是 以 难 也 。,没 有 一 个 百 姓 不 属 于 纣 王 统 治 ， 在 那 种 情 况 下 ， 文 王 还 只 能 从 方 圆 百 里 的 小 地 方 兴 起 ， 所 以 是 是 非 常 困 难 的 。
然 而 文 王 犹 方 百 里 起 ，,文 王 还 只 能 从 方 圆 百 里 的 小 地 方 兴 起 ，
然 而 文 王 犹 方 百 里 起 ， 是 以 难 也 。,文 王 还 只 能 从 方 圆 百 里 的 小 地 方 兴 起 ， 所 以 是 是 非 常 困 难 的 。
是 以 难 也 。,所 以 是 是 非 常 困 难 的 。
齐 人 有 言 曰 ：,齐 国 人 有 句 话 说 ：
齐 人 有 言 曰 ： 虽 有 智 慧 ，,齐 国 人 有 句 话 说 ： 虽 然 有 智 慧 ，
齐 人 有 言 曰 ： 虽 有 智 慧 ， 不 如 乘 势 ；,齐 国 人 有 句 话 说 ： 虽 然 有 智 慧 ， 不 如 趁 形 势 ；
虽 有 智 慧 ，,虽 然 有 智 慧 ，
虽 有 智 慧 ， 不 如 乘 势 ；,虽 然 有 智 慧 ， 不 如 趁 形 势 ；
不 如 乘 势 ；,不 如 趁 形 势 ；
虽 有 镃 基 ，,虽 然 有 锄 头 ，
虽 有 镃 基 ， 不 如 待 时 。,虽 然 有 锄 头 ， 不 如 等 农 时 。
不 如 待 时 。,不 如 等 农 时 。
今 时 则 易 然 也 。,现 在 的 时 势 就 很 利 于 用 王 道 统 一 天 下 ：
夏 后 、,夏 、
夏 后 、 殷 、,夏 、 商 、
夏 后 、 殷 、 周 之 盛 ，,夏 、 商 、 周 三 代 兴 盛 的 时 候 ，
殷 、,商 、
殷 、 周 之 盛 ，,商 、 周 三 代 兴 盛 的 时 候 ，
殷 、 周 之 盛 ， 地 未 有 过 千 里 者 也 ，,商 、 周 三 代 兴 盛 的 时 候 ， 没 有 哪 一 国 的 国 土 有 超 过 方 圆 千 里 的 ，
周 之 盛 ，,周 三 代 兴 盛 的 时 候 ，
周 之 盛 ， 地 未 有 过 千 里 者 也 ，,周 三 代 兴 盛 的 时 候 ， 没 有 哪 一 国 的 国 土 有 超 过 方 圆 千 里 的 ，
周 之 盛 ， 地 未 有 过 千 里 者 也 ， 而 齐 有 其 地 矣 ；,周 三 代 兴 盛 的 时 候 ， 没 有 哪 一 国 的 国 土 有 超 过 方 圆 千 里 的 ， 而 现 在 的 齐 国 却 超 过 了 ；
地 未 有 过 千 里 者 也 ，,没 有 哪 一 国 的 国 土 有 超 过 方 圆 千 里 的 ，
地 未 有 过 千 里 者 也 ， 而 齐 有 其 地 矣 ；,没 有 哪 一 国 的 国 土 有 超 过 方 圆 千 里 的 ， 而 现 在 的 齐 国 却 超 过 了 ；
而 齐 有 其 地 矣 ；,而 现 在 的 齐 国 却 超 过 了 ；
鸡 鸣 狗 吠 相 闻 ，,鸡 鸣 狗 叫 的 声 音 处 处 都 听 得 见 ，
鸡 鸣 狗 吠 相 闻 ， 而 达 乎 四 境 ，,鸡 鸣 狗 叫 的 声 音 处 处 都 听 得 见 ， 一 直 到 四 方 边 境 ，
鸡 鸣 狗 吠 相 闻 ， 而 达 乎 四 境 ， 而 齐 有 其 民 矣 。,鸡 鸣 狗 叫 的 声 音 处 处 都 听 得 见 ， 一 直 到 四 方 边 境 ， 这 说 明 齐 国 人 口 众 多 。
而 达 乎 四 境 ，,一 直 到 四 方 边 境 ，
而 达 乎 四 境 ， 而 齐 有 其 民 矣 。,一 直 到 四 方 边 境 ， 这 说 明 齐 国 人 口 众 多 。
而 齐 有 其 民 矣 。,这 说 明 齐 国 人 口 众 多 。
地 不 改 辟 矣 ，,国 土 不 需 要 新 开 辟 ，
地 不 改 辟 矣 ， 民 不 改 聚 矣 ，,国 土 不 需 要 新 开 辟 ， 老 百 姓 不 需 要 新 团 聚 ，
地 不 改 辟 矣 ， 民 不 改 聚 矣 ， 行 仁 政 而 王 ，,国 土 不 需 要 新 开 辟 ， 老 百 姓 不 需 要 新 团 聚 ， 如 果 施 行 仁 政 来 统 一 天 下 ，
民 不 改 聚 矣 ，,老 百 姓 不 需 要 新 团 聚 ，
民 不 改 聚 矣 ， 行 仁 政 而 王 ，,老 百 姓 不 需 要 新 团 聚 ， 如 果 施 行 仁 政 来 统 一 天 下 ，
民 不 改 聚 矣 ， 行 仁 政 而 王 ， 莫 之 能 御 也 。,老 百 姓 不 需 要 新 团 聚 ， 如 果 施 行 仁 政 来 统 一 天 下 ， 没 有 谁 能 够 阻 挡 。
行 仁 政 而 王 ，,如 果 施 行 仁 政 来 统 一 天 下 ，
行 仁 政 而 王 ， 莫 之 能 御 也 。,如 果 施 行 仁 政 来 统 一 天 下 ， 没 有 谁 能 够 阻 挡 。
莫 之 能 御 也 。,没 有 谁 能 够 阻 挡 。
且 王 者 之 不 作 ，,统 一 天 下 的 贤 君 没 有 出 现 ，
且 王 者 之 不 作 ， 未 有 疏 于 此 时 者 也 ；,统 一 天 下 的 贤 君 没 有 出 现 ， 从 来 没 有 隔 过 这 么 久 的 ；
未 有 疏 于 此 时 者 也 ；,从 来 没 有 隔 过 这 么 久 的 ；
民 之 憔 悴 于 虐 政 ，,老 百 姓 受 暴 政 的 压 榨 ，
民 之 憔 悴 于 虐 政 ， 未 有 甚 于 此 时 者 也 。,老 百 姓 受 暴 政 的 压 榨 ， 从 来 没 有 这 么 厉 害 过 的 。
未 有 甚 于 此 时 者 也 。,从 来 没 有 这 么 厉 害 过 的 。
饥 者 易 为 食 ，,饥 饿 的 人 不 择 食 物 ，
饥 者 易 为 食 ， 渴 者 易 为 饮 。,饥 饿 的 人 不 择 食 物 ， 口 渴 的 人 不 择 饮 料 。
渴 者 易 为 饮 。,口 渴 的 人 不 择 饮 料 。
孔 子 曰 ：,孔 子 说 ：
孔 子 曰 ： 德 之 流 行 ，,孔 子 说 ： 道 德 的 流 行 ，
孔 子 曰 ： 德 之 流 行 ， 速 于 置 邮 而 传 命 。,孔 子 说 ： 道 德 的 流 行 ， 比 驿 站 传 递 政 令 还 要 迅 速 。
德 之 流 行 ，,道 德 的 流 行 ，
德 之 流 行 ， 速 于 置 邮 而 传 命 。,道 德 的 流 行 ， 比 驿 站 传 递 政 令 还 要 迅 速 。
速 于 置 邮 而 传 命 。,比 驿 站 传 递 政 令 还 要 迅 速 。
当 今 之 时 ，,现 在 这 个 时 候 ，
当 今 之 时 ， 万 乘 之 国 行 仁 政 ，,现 在 这 个 时 候 ， 拥 有 一 万 辆 兵 车 的 大 国 施 行 仁 政 ，
当 今 之 时 ， 万 乘 之 国 行 仁 政 ， 民 之 悦 之 ，,现 在 这 个 时 候 ， 拥 有 一 万 辆 兵 车 的 大 国 施 行 仁 政 ， 老 百 姓 的 高 兴 ，
万 乘 之 国 行 仁 政 ，,拥 有 一 万 辆 兵 车 的 大 国 施 行 仁 政 ，
万 乘 之 国 行 仁 政 ， 民 之 悦 之 ，,拥 有 一 万 辆 兵 车 的 大 国 施 行 仁 政 ， 老 百 姓 的 高 兴 ，
万 乘 之 国 行 仁 政 ， 民 之 悦 之 ， 犹 解 倒 悬 也 。,拥 有 一 万 辆 兵 车 的 大 国 施 行 仁 政 ， 老 百 姓 的 高 兴 ， 就 像 被 吊 着 的 人 得 到 解 救 一 样 。
民 之 悦 之 ，,老 百 姓 的 高 兴 ，
民 之 悦 之 ， 犹 解 倒 悬 也 。,老 百 姓 的 高 兴 ， 就 像 被 吊 着 的 人 得 到 解 救 一 样 。
犹 解 倒 悬 也 。,就 像 被 吊 着 的 人 得 到 解 救 一 样 。
故 事 半 古 之 人 ，,做 古 人 一 半 的 事 ，
故 事 半 古 之 人 ， 功 必 倍 之 ，,做 古 人 一 半 的 事 ， 就 可 以 成 就 古 人 双 倍 的 功 绩 。
故 事 半 古 之 人 ， 功 必 倍 之 ， 惟 此 时 为 然 。,做 古 人 一 半 的 事 ， 就 可 以 成 就 古 人 双 倍 的 功 绩 。 只 有 这 个 时 候 才 做 得 到 吧 。
功 必 倍 之 ，,就 可 以 成 就 古 人 双 倍 的 功 绩 。
功 必 倍 之 ， 惟 此 时 为 然 。,就 可 以 成 就 古 人 双 倍 的 功 绩 。 只 有 这 个 时 候 才 做 得 到 吧 。
惟 此 时 为 然 。,只 有 这 个 时 候 才 做 得 到 吧 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 有 布 缕 之 征 ，,孟 子 说 ： 有 对 布 帛 的 征 税 ，
孟 子 曰 ： 有 布 缕 之 征 ， 粟 米 之 征 ，,孟 子 说 ： 有 对 布 帛 的 征 税 ， 有 对 粮 食 的 征 税 ，
有 布 缕 之 征 ，,有 对 布 帛 的 征 税 ，
有 布 缕 之 征 ， 粟 米 之 征 ，,有 对 布 帛 的 征 税 ， 有 对 粮 食 的 征 税 ，
有 布 缕 之 征 ， 粟 米 之 征 ， 力 役 之 征 。,有 对 布 帛 的 征 税 ， 有 对 粮 食 的 征 税 ， 有 征 发 劳 力 的 赋 税 。
粟 米 之 征 ，,有 对 粮 食 的 征 税 ，
粟 米 之 征 ， 力 役 之 征 。,有 对 粮 食 的 征 税 ， 有 征 发 劳 力 的 赋 税 。
力 役 之 征 。,有 征 发 劳 力 的 赋 税 。
君 子 用 其 一 ，,君 子 采 用 其 中 的 一 种 ，
君 子 用 其 一 ， 缓 其 二 。,君 子 采 用 其 中 的 一 种 ， 缓 和 另 外 两 种 。
缓 其 二 。,缓 和 另 外 两 种 。
用 其 二 而 民 有 殍 ，,采 用 两 种 而 人 民 就 会 有 饿 死 的 ，
用 其 二 而 民 有 殍 ， 用 其 三 而 父 子 离 。,采 用 两 种 而 人 民 就 会 有 饿 死 的 ， 采 用 三 种 征 赋 父 子 就 要 分 离 了 。
用 其 三 而 父 子 离 。,采 用 三 种 征 赋 父 子 就 要 分 离 了 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 诸 侯 之 宝 三 ：,孟 子 说 ： 诸 侯 君 主 们 有 三 样 宝 ，
孟 子 曰 ： 诸 侯 之 宝 三 ： 土 地 ，,孟 子 说 ： 诸 侯 君 主 们 有 三 样 宝 ， 土 地 、
诸 侯 之 宝 三 ：,诸 侯 君 主 们 有 三 样 宝 ，
诸 侯 之 宝 三 ： 土 地 ，,诸 侯 君 主 们 有 三 样 宝 ， 土 地 、
诸 侯 之 宝 三 ： 土 地 ， 政 事 。,诸 侯 君 主 们 有 三 样 宝 ， 土 地 、 人 民 和 政 治 权 力 。
土 地 ，,土 地 、
土 地 ， 政 事 。,土 地 、 人 民 和 政 治 权 力 。
政 事 。,人 民 和 政 治 权 力 。
宝 珠 玉 者 ，,宝 贵 于 珠 宝 玉 器 的 人 ，
宝 珠 玉 者 ， 殃 必 及 身 。,宝 贵 于 珠 宝 玉 器 的 人 ， 灾 祸 一 定 会 殃 及 其 身 。
殃 必 及 身 。,灾 祸 一 定 会 殃 及 其 身 。
盆 成 括 仕 于 齐 。,盆 成 括 到 齐 国 当 官 ，
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 死 矣 盆 成 括 ！,孟 子 说 ： 盆 成 括 快 要 死 了 。
死 矣 盆 成 括 ！,盆 成 括 快 要 死 了 。
盆 成 括 见 杀 。,后 来 盆 成 括 果 然 被 杀 ，
门 人 问 曰 ：,孟 子 的 学 生 们 就 问 ：
门 人 问 曰 ： 夫 子 何 以 知 其 将 见 杀 ？,孟 子 的 学 生 们 就 问 ： 老 师 怎 么 知 晓 他 将 要 被 杀 头 呢 ？
夫 子 何 以 知 其 将 见 杀 ？,老 师 怎 么 知 晓 他 将 要 被 杀 头 呢 ？
曰 ：,孟 子 说 ：
曰 ： 其 为 人 也 小 有 才 ，,孟 子 说 ： 他 为 人 小 有 才 气 ，
曰 ： 其 为 人 也 小 有 才 ， 未 闻 君 子 之 大 道 也 ，,孟 子 说 ： 他 为 人 小 有 才 气 ， 但 是 没 有 听 说 过 君 子 的 人 生 道 路 ，
其 为 人 也 小 有 才 ，,他 为 人 小 有 才 气 ，
其 为 人 也 小 有 才 ， 未 闻 君 子 之 大 道 也 ，,他 为 人 小 有 才 气 ， 但 是 没 有 听 说 过 君 子 的 人 生 道 路 ，
其 为 人 也 小 有 才 ， 未 闻 君 子 之 大 道 也 ， 则 足 以 杀 其 躯 而 已 矣 。,他 为 人 小 有 才 气 ， 但 是 没 有 听 说 过 君 子 的 人 生 道 路 ， 这 样 就 能 招 来 杀 身 之 祸 。
未 闻 君 子 之 大 道 也 ，,但 是 没 有 听 说 过 君 子 的 人 生 道 路 ，
未 闻 君 子 之 大 道 也 ， 则 足 以 杀 其 躯 而 已 矣 。,但 是 没 有 听 说 过 君 子 的 人 生 道 路 ， 这 样 就 能 招 来 杀 身 之 祸 。
则 足 以 杀 其 躯 而 已 矣 。,这 样 就 能 招 来 杀 身 之 祸 。
孟 子 之 滕 ，,孟 子 到 滕 国 ，
孟 子 之 滕 ， 馆 于 上 宫 。,孟 子 到 滕 国 ， 住 在 上 等 的 旅 馆 里 ，
馆 于 上 宫 。,住 在 上 等 的 旅 馆 里 ，
有 业 屦 于 牖 上 ，,有 一 双 尚 未 织 完 的 鞋 子 放 在 窗 台 上 不 见 了 ，
有 业 屦 于 牖 上 ， 馆 人 求 之 弗 得 。,有 一 双 尚 未 织 完 的 鞋 子 放 在 窗 台 上 不 见 了 ， 旅 馆 里 的 人 找 不 到 它 。
馆 人 求 之 弗 得 。,旅 馆 里 的 人 找 不 到 它 。
或 问 之 曰 ：,就 有 人 问 孟 子 说 ：
或 问 之 曰 ： 若 是 乎 从 者 之 廋 也 ？,就 有 人 问 孟 子 说 ： 是 不 是 随 从 你 的 人 搜 求 起 来 了 ？
若 是 乎 从 者 之 廋 也 ？,是 不 是 随 从 你 的 人 搜 求 起 来 了 ？
曰 ：,孟 子 说 ：
曰 ： 子 以 是 为 窃 屦 来 与 ？,孟 子 说 ： 你 以 为 他 们 是 为 偷 窃 鞋 子 而 来 的 吗 ？
子 以 是 为 窃 屦 来 与 ？,你 以 为 他 们 是 为 偷 窃 鞋 子 而 来 的 吗 ？
曰 ：,那 人 说 ：
曰 ： 殆 非 也 。,那 人 说 ： 恐 怕 不 是 的 。
殆 非 也 。,恐 怕 不 是 的 。
夫 予 之 设 科 也 ，,我 作 为 先 生 是 来 办 教 育 的 ，
夫 予 之 设 科 也 ， 往 者 不 追 ，,我 作 为 先 生 是 来 办 教 育 的 ， 对 过 往 的 不 追 问 ，
夫 予 之 设 科 也 ， 往 者 不 追 ， 来 者 不 距 。,我 作 为 先 生 是 来 办 教 育 的 ， 对 过 往 的 不 追 问 ， 对 来 的 不 拒 绝 。
往 者 不 追 ，,对 过 往 的 不 追 问 ，
往 者 不 追 ， 来 者 不 距 。,对 过 往 的 不 追 问 ， 对 来 的 不 拒 绝 。
来 者 不 距 。,对 来 的 不 拒 绝 。
苟 以 是 心 至 ，,如 果 是 抱 着 学 习 的 心 态 来 ，
苟 以 是 心 至 ， 斯 受 之 而 已 矣 。,如 果 是 抱 着 学 习 的 心 态 来 ， 我 都 接 受 ， 如 此 而 已 。
斯 受 之 而 已 矣 。,我 都 接 受 ， 如 此 而 已 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 人 皆 有 所 不 忍 ，,孟 子 说 ： 人 都 有 所 不 忍 心 干 的 事 ，
孟 子 曰 ： 人 皆 有 所 不 忍 ， 达 之 于 其 所 忍 ，,孟 子 说 ： 人 都 有 所 不 忍 心 干 的 事 ， 如 果 能 达 到 能 忍 住 的 程 度 ，
人 皆 有 所 不 忍 ，,人 都 有 所 不 忍 心 干 的 事 ，
人 皆 有 所 不 忍 ， 达 之 于 其 所 忍 ，,人 都 有 所 不 忍 心 干 的 事 ， 如 果 能 达 到 能 忍 住 的 程 度 ，
人 皆 有 所 不 忍 ， 达 之 于 其 所 忍 ， 仁 也 ；,人 都 有 所 不 忍 心 干 的 事 ， 如 果 能 达 到 能 忍 住 的 程 度 ， 就 是 仁 爱 了 。
达 之 于 其 所 忍 ，,如 果 能 达 到 能 忍 住 的 程 度 ，
达 之 于 其 所 忍 ， 仁 也 ；,如 果 能 达 到 能 忍 住 的 程 度 ， 就 是 仁 爱 了 。
仁 也 ；,就 是 仁 爱 了 。
人 皆 有 所 不 为 ，,人 都 有 所 不 愿 意 做 的 事 ，
人 皆 有 所 不 为 ， 达 之 于 其 所 为 ，,人 都 有 所 不 愿 意 做 的 事 ， 如 果 能 达 到 不 去 做 的 程 度 ，
人 皆 有 所 不 为 ， 达 之 于 其 所 为 ， 义 也 。,人 都 有 所 不 愿 意 做 的 事 ， 如 果 能 达 到 不 去 做 的 程 度 ， 那 就 是 最 佳 行 为 方 式 了 。
达 之 于 其 所 为 ，,如 果 能 达 到 不 去 做 的 程 度 ，
达 之 于 其 所 为 ， 义 也 。,如 果 能 达 到 不 去 做 的 程 度 ， 那 就 是 最 佳 行 为 方 式 了 。
义 也 。,那 就 是 最 佳 行 为 方 式 了 。
人 能 充 无 欲 害 人 之 心 ，,人 们 心 里 如 果 能 充 满 不 想 害 人 的 念 头 ，
人 能 充 无 欲 害 人 之 心 ， 而 仁 不 可 胜 用 也 ；,人 们 心 里 如 果 能 充 满 不 想 害 人 的 念 头 ， 仁 爱 之 心 就 用 之 不 尽 了 。
而 仁 不 可 胜 用 也 ；,仁 爱 之 心 就 用 之 不 尽 了 。
人 能 充 无 穿 逾 之 心 ，,人 们 心 里 如 果 能 充 满 不 穿 墙 打 洞 偷 盗 的 念 头 ，
人 能 充 无 穿 逾 之 心 ， 而 义 不 可 胜 用 也 。,人 们 心 里 如 果 能 充 满 不 穿 墙 打 洞 偷 盗 的 念 头 ， 那 最 佳 行 为 方 式 就 用 之 不 尽 了 。
而 义 不 可 胜 用 也 。,那 最 佳 行 为 方 式 就 用 之 不 尽 了 。
人 能 充 无 受 尔 汝 之 实 ，,人 们 心 里 如 果 能 充 满 不 接 受 卑 贱 的 称 呼 的 念 头 ，
人 能 充 无 受 尔 汝 之 实 ， 无 所 往 而 不 为 义 也 。,人 们 心 里 如 果 能 充 满 不 接 受 卑 贱 的 称 呼 的 念 头 ， 无 论 去 到 哪 里 都 不 会 不 行 为 于 最 佳 行 为 方 式 的 。
无 所 往 而 不 为 义 也 。,无 论 去 到 哪 里 都 不 会 不 行 为 于 最 佳 行 为 方 式 的 。
士 未 可 以 言 而 言 ，,读 书 人 不 可 以 和 他 言 谈 而 又 言 谈 的 ，
士 未 可 以 言 而 言 ， 是 以 言 餂 之 也 ；,读 书 人 不 可 以 和 他 言 谈 而 又 言 谈 的 ， 是 以 言 谈 诱 取 他 ；
是 以 言 餂 之 也 ；,是 以 言 谈 诱 取 他 ；
可 以 言 而 不 言 ，,可 以 言 谈 而 不 言 谈 的 ，
可 以 言 而 不 言 ， 是 以 不 言 餂 之 也 ，,可 以 言 谈 而 不 言 谈 的 ， 是 以 不 言 谈 来 诱 取 他 ，
可 以 言 而 不 言 ， 是 以 不 言 餂 之 也 ， 是 皆 穿 逾 之 类 也 。,可 以 言 谈 而 不 言 谈 的 ， 是 以 不 言 谈 来 诱 取 他 ， 这 些 都 属 于 穿 墙 打 洞 的 小 偷 之 类 的 行 为 。
是 以 不 言 餂 之 也 ，,是 以 不 言 谈 来 诱 取 他 ，
是 以 不 言 餂 之 也 ， 是 皆 穿 逾 之 类 也 。,是 以 不 言 谈 来 诱 取 他 ， 这 些 都 属 于 穿 墙 打 洞 的 小 偷 之 类 的 行 为 。
是 皆 穿 逾 之 类 也 。,这 些 都 属 于 穿 墙 打 洞 的 小 偷 之 类 的 行 为 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 言 近 而 指 远 者 ，,孟 子 说 ： 言 语 浅 近 而 意 义 深 刻 的 ，
孟 子 曰 ： 言 近 而 指 远 者 ， 善 言 也 ；,孟 子 说 ： 言 语 浅 近 而 意 义 深 刻 的 ， 是 善 言 ；
言 近 而 指 远 者 ，,言 语 浅 近 而 意 义 深 刻 的 ，
言 近 而 指 远 者 ， 善 言 也 ；,言 语 浅 近 而 意 义 深 刻 的 ， 是 善 言 ；
善 言 也 ；,是 善 言 ；
守 约 而 施 博 者 ，,操 守 简 要 而 影 响 广 大 的 ，
守 约 而 施 博 者 ， 善 道 也 。,操 守 简 要 而 影 响 广 大 的 ， 是 善 道 。
善 道 也 。,是 善 道 。
君 子 之 言 也 ，,君 子 所 说 的 话 ，
君 子 之 言 也 ， 不 下 带 而 道 存 焉 。,君 子 所 说 的 话 ， 没 有 束 缚 而 人 生 的 道 路 就 在 其 中 ；
不 下 带 而 道 存 焉 。,没 有 束 缚 而 人 生 的 道 路 就 在 其 中 ；
君 子 之 守 ，,君 子 的 操 守 ，
君 子 之 守 ， 修 其 身 而 天 下 平 。,君 子 的 操 守 ， 修 养 自 身 而 能 使 天 下 太 平 。
修 其 身 而 天 下 平 。,修 养 自 身 而 能 使 天 下 太 平 。
人 病 舍 其 田 而 芸 人 之 田 ，,人 的 毛 病 是 舍 弃 自 己 的 田 而 去 耕 耘 别 人 的 田 ，
人 病 舍 其 田 而 芸 人 之 田 ， 所 求 于 人 者 重 ，,人 的 毛 病 是 舍 弃 自 己 的 田 而 去 耕 耘 别 人 的 田 ， 所 要 求 别 人 的 很 重 ，
人 病 舍 其 田 而 芸 人 之 田 ， 所 求 于 人 者 重 ， 而 所 以 自 任 者 轻 。,人 的 毛 病 是 舍 弃 自 己 的 田 而 去 耕 耘 别 人 的 田 ， 所 要 求 别 人 的 很 重 ， 而 自 己 担 负 的 却 很 轻 。
所 求 于 人 者 重 ，,所 要 求 别 人 的 很 重 ，
所 求 于 人 者 重 ， 而 所 以 自 任 者 轻 。,所 要 求 别 人 的 很 重 ， 而 自 己 担 负 的 却 很 轻 。
而 所 以 自 任 者 轻 。,而 自 己 担 负 的 却 很 轻 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 尧 舜 ，,孟 子 说 ： 尧 和 舜 ，
孟 子 曰 ： 尧 舜 ， 性 者 也 ；,孟 子 说 ： 尧 和 舜 ， 是 本 性 的 人 ；
尧 舜 ，,尧 和 舜 ，
尧 舜 ， 性 者 也 ；,尧 和 舜 ， 是 本 性 的 人 ；
性 者 也 ；,是 本 性 的 人 ；
汤 武 ，,商 汤 王 和 武 王 ，
汤 武 ， 反 之 也 。,商 汤 王 和 武 王 ， 则 是 返 回 本 性 的 人 。
反 之 也 。,则 是 返 回 本 性 的 人 。
动 容 周 旋 中 礼 者 ，,行 动 和 仪 容 在 对 人 际 关 系 中 符 合 社 会 行 为 规 范 的 人 ，
动 容 周 旋 中 礼 者 ， 盛 德 之 至 也 ；,行 动 和 仪 容 在 对 人 际 关 系 中 符 合 社 会 行 为 规 范 的 人 ， 是 盛 大 的 规 律 很 高 的 表 现 。
盛 德 之 至 也 ；,是 盛 大 的 规 律 很 高 的 表 现 。
哭 死 而 哀 ，,痛 哭 死 者 而 悲 哀 ，
哭 死 而 哀 ， 非 为 生 者 也 ；,痛 哭 死 者 而 悲 哀 ， 并 不 是 为 了 活 着 的 人 。
非 为 生 者 也 ；,并 不 是 为 了 活 着 的 人 。
经 德 不 回 ，,经 过 规 律 的 修 养 而 不 返 回 市 俗 ，
经 德 不 回 ， 非 以 干 禄 也 ；,经 过 规 律 的 修 养 而 不 返 回 市 俗 ， 并 不 是 想 要 求 取 利 禄 。
非 以 干 禄 也 ；,并 不 是 想 要 求 取 利 禄 。
言 语 必 信 ，,言 谈 语 言 必 然 诚 信 ，
言 语 必 信 ， 非 以 正 行 也 。,言 谈 语 言 必 然 诚 信 ， 并 不 是 为 了 端 正 行 为 。
非 以 正 行 也 。,并 不 是 为 了 端 正 行 为 。
君 子 行 法 ，,君 子 行 为 于 法 度 ，
君 子 行 法 ， 以 俟 命 而 已 矣 。,君 子 行 为 于 法 度 ， 只 是 遵 守 命 运 的 安 排 而 已 。
以 俟 命 而 已 矣 。,只 是 遵 守 命 运 的 安 排 而 已 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 说 大 人 ，,孟 子 说 ： 至 于 说 到 大 人 ，
孟 子 曰 ： 说 大 人 ， 则 藐 之 ，,孟 子 说 ： 至 于 说 到 大 人 ， 我 则 很 藐 视 ，
说 大 人 ，,至 于 说 到 大 人 ，
说 大 人 ， 则 藐 之 ，,至 于 说 到 大 人 ， 我 则 很 藐 视 ，
说 大 人 ， 则 藐 之 ， 勿 视 其 巍 巍 然 。,至 于 说 到 大 人 ， 我 则 很 藐 视 ， 我 根 本 不 看 他 们 那 高 高 在 上 的 傲 气 。
则 藐 之 ，,我 则 很 藐 视 ，
则 藐 之 ， 勿 视 其 巍 巍 然 。,我 则 很 藐 视 ， 我 根 本 不 看 他 们 那 高 高 在 上 的 傲 气 。
勿 视 其 巍 巍 然 。,我 根 本 不 看 他 们 那 高 高 在 上 的 傲 气 。
堂 高 数 仞 ，,堂 高 两 三 丈 ，
堂 高 数 仞 ， 榱 题 数 尺 ，,堂 高 两 三 丈 ， 屋 檐 才 几 尺 ，
堂 高 数 仞 ， 榱 题 数 尺 ， 我 得 志 弗 为 也 ；,堂 高 两 三 丈 ， 屋 檐 才 几 尺 ， 我 如 果 得 志 ， 不 行 为 于 这 些 。
榱 题 数 尺 ，,屋 檐 才 几 尺 ，
榱 题 数 尺 ， 我 得 志 弗 为 也 ；,屋 檐 才 几 尺 ， 我 如 果 得 志 ， 不 行 为 于 这 些 。
我 得 志 弗 为 也 ；,我 如 果 得 志 ， 不 行 为 于 这 些 。
